ID,Week1-0to14,Week1-14to20,Week1-36to42,Week2-0to14,Week2-14to20,Week2-36to42,Week3-0to14,Week3-14to20,Week3-36to42,Week3-60to66,Week3-88to94,Week4-0to14,Week4-14to20,Week4-36to42,Week4-60to66,Week4-88to94,Week5-0to14,Week5-14to20,Week5-36to42,Week5-60to66,Week5-88to94,Avg-0to14,Avg-14-20,Avg-36to42,Avg-60to66,Avg-88to94,kc,ko,ssq_res,res2,res5,res27,res51,res72
ln79-6,0.527777778,2.555555556,4.972222222,1.25,2.555555556,3.638888889,0.444444444,2.888888889,5.555555556,5.694444444,3,0.333333333,4,7.333333333,9.25,3.555555556,0.083333333,2.638888889,5.666666667,5.916666667,3.388888889,0.527777778,2.927777778,5.433333333,6.953703704,3.314814815,-0.0893729815,2.3793641724,6.5093886237,0.2599763287,-1.2307066894,-1.204760234,-1.6121281754,-0.9363532996
ln80-8,0.75,1.833333333,4.722222222,0.694444444,1.972222222,2.777777778,0.194444444,2.027777778,3.972222222,3.305555556,2.138888889,0.527777778,3.75,6.833333333,8.444444444,1.583333333,0.222222222,3.638888889,6.5,6.916666667,3.361111111,0.477777778,2.644444444,4.961111111,6.222222222,2.361111111,-0.0856404999,2.5938663998,2.0088198276,0.3776239079,-0.8123199987,-0.5279572046,-0.8422751592,-0.4671081007
ln81-9,1.5,2.027777778,4.333333333,1.833333333,2.916666667,3.833333333,1,2.694444444,4.416666667,4.444444444,1.333333333,1.138888889,4.055555556,6.916666667,5.5,0.138888889,0.861111111,3.75,6.472222222,4.833333333,0.333333333,1.266666667,3.088888889,5.194444444,4.925925926,0.601851852,-3.44214204130796E-009,3.4584894717,13.2608849606,-0.2185467781,-1.077723228,-2.0420442214,-1.9545528989,2.0152948354
ln82-0,0.888888889,2.666666667,4.972222222,1.027777778,2.805555556,5.361111111,0.75,3,6.194444444,3.222222222,0.111111111,0.527777778,4.138888889,8.305555556,5.055555556,0.277777778,0.25,3.638888889,7.833333333,3.861111111,0.5,0.688888889,3.25,6.533333333,4.046296296,0.296296296,-0.0847418085,4.1635030327,0.6782951713,0.6806408283,-0.3386974028,0.1015547503,0.049480998,-0.2958810014
ln83-1,2.1,3.066666667,5.766666667,2.305555556,3.194444444,4.444444444,1.972222222,3.472222222,5.888888889,3.277777778,0.083333333,1.472222222,4.527777778,8.25,3.333333333,0.055555556,0.277777778,3.666666667,6.222222222,4.5,0.111111111,1.625555556,3.585555556,6.114444444,3.703703704,0.083333333,-2.54426834401578E-007,11.4282608855,18.2791872317,1.8102338087,2.8231887813,0.9283399434,-2.4830032896,-0.0687423335
ln84-2,1.5,2.944444444,4.944444444,1.5,3.555555556,4.555555556,1.083333333,3.583333333,6.527777778,3.5,0.305555556,1.194444444,4.916666667,8.888888889,2.638888889,0.194444444,0.638888889,4.694444444,8.25,3.583333333,0.277777778,1.183333333,3.938888889,6.633333333,3.240740741,0.259259259,-3.4412034752844E-009,3.4734306109,21.3760227117,-0.1307012207,-1.9191711061,-3.4687640173,-0.2601379842,2.3612976495
ln85-3,1.361111111,3.055555556,5.194444444,2.111111111,3.277777778,4.972222222,1.138888889,3.333333333,5.888888889,3.361111111,0.166666667,1.5,4.833333333,9,2.861111111,0.583333333,1.166666667,4.694444444,7.916666667,2.25,0.777777778,1.455555556,3.838888889,6.594444444,2.824074074,0.509259259,-3.32804790273479E-008,13.8710007117,28.3960793853,2.7043854081,3.8527155496,0.4929696077,-2.3952826651,-0.5084916558
ln86-4,2.388888889,3,5.277777778,2.361111111,2.916666667,4.638888889,1.694444444,3.166666667,5.583333333,4.416666667,0.722222222,0.972222222,3.777777778,7.583333333,5.305555556,0.138888889,0.5,4.027777778,7.333333333,4.527777778,0.055555556,1.583333333,3.377777778,6.083333333,4.75,0.305555556,-3.36571805326163E-009,4.6517435368,10.8810401293,-0.1752778532,-0.6872820399,-2.0072623813,-1.2038952803,2.2134803111
ln87-5,0.305555556,2.222222222,5.388888889,0.694444444,2.222222222,3.694444444,0.083333333,1.083333333,2.5,2.583333333,2.166666667,0.111111111,1.805555556,5.111111111,4.472222222,1.5,0,0.888888889,5.194444444,4.555555556,2.027777778,0.238888889,1.644444444,4.377777778,3.87037037,1.898148148,-3.49289483758788E-009,2.6363601695,6.3066983901,0.5607387653,-0.105657977,-1.9167038446,-1.4721548678,0.3743170268
ln88-6,2.694444444,2.722222222,5.194444444,2.055555556,3.111111111,3.888888889,1.361111111,2.722222222,4.694444444,3.083333333,0.333333333,1.5,4.166666667,8.111111111,3.444444444,0.194444444,0.722222222,4.194444444,7.055555556,6.027777778,0.138888889,1.666666667,3.383333333,5.788888889,4.185185185,0.222222222,-3.48129876501766E-008,2.86239313,20.7357909231,-0.7986785468,-1.7143194965,-3.1336028555,-1.617476702,2.173318759
